0, -0.0645619
0.444444, 0.0897578
0.888889, 0.0936963
1.77778, 0.0947463
2.66667, 0.0945063
3.55556, 0.0944573
4.44444, 0.0941125
5.33333, 0.0956378
5.77778, 0.10136
6.22222, 0.322421
6.44444, 0.823027
6.66667, 2.357
6.81481, 4.46307
6.96296, 7.71181
7.03704, 9.35555
7.11111, 9.80071
7.16667, 8.04951
7.22222, 2.4193
7.25926, -4.67927
7.2963, -14.8079
7.33333, -18.7122
7.38889, -19.8245
7.40741, -11.4001
7.42593, -12.6253
7.44444, -13.5921
7.5, -14.1963
7.55556, -12.3604
7.61111, -9.72824
7.66667, -7.03036
7.72222, -4.26248
7.77778, -1.2277
7.85185, 3.20988
7.92593, 7.36843
7.96296, 9.04879
8, 10.4297
