0	-0.0645635	
0.444444	0.08976	
0.888889	0.0936976	
1.77778	0.0947422	
2.66667	0.094506	
3.55556	0.0944549	
4.44444	0.0941175	
5.33333	0.0956342	
5.77778	0.101356	
6.22222	0.32242	
6.44444	0.823028	
6.66667	2.35701	
6.81481	4.46309	
6.96296	7.71183	
7.03704	9.35557	
7.11111	9.80072	
7.16667	8.04949	
7.22222	2.41923	
7.25926	-4.67941	
7.2963	-14.8081	
7.33333	-18.7123	
7.38889	-19.8245	
7.40741	-11.4002	
7.42593	-12.6252	
7.44444	-13.5921	
7.5	-14.1962	
7.55556	-12.3604	
7.61111	-9.72821	
7.66667	-7.03033	
7.72222	-4.26246	
7.77778	-1.22769	
7.85185	3.20989	
7.92593	7.36843	
7.96296	9.04879	
8	10.4297	
